cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness
0	1	19	0.7257
0	2	4	102.6308
0	2	6	22.2384
0	3	14	4.5072
0	6	18	1.3005
0	8	14	22.7591
0	9	10	37.0708
0	9	19	25.6474
0	9	20	12.8553
0	11	2	34.8278
0	11	10	91.2826
0	15	17	0.7640
0	17	11	104.2904
0	17	16	0.6404
1	0	0	44.4050
1	0	1	1.3186
1	0	2	1.8289
1	0	3	0.2850
1	0	4	2.4553
1	0	5	0.1516
1	0	6	0.0000
1	0	7	0.5444
1	0	8	0.0000
1	0	9	2.2106
1	0	10	6.1512
1	0	11	0.1229
1	0	12	0.0000
1	0	13	2.1357
1	0	14	0.0000
1	0	15	0.0000
1	0	16	0.6921
1	0	17	0.9636
1	0	18	0.4238
1	0	19	2.9664
1	0	20	1.4240
1	1	0	0.8444
1	2	0	4.4970
1	3	0	0.0000
1	4	0	0.0000
1	5	0	0.0000
1	6	0	0.0000
1	7	0	0.0000
1	8	0	65.6488
1	9	0	0.0000
1	10	0	0.0000
1	11	0	0.0000
1	12	0	0.0000
1	13	0	0.0000
1	14	0	0.0763
1	15	0	0.0000
1	16	0	0.0000
1	17	0	0.1781
1	18	0	0.1809
1	19	0	0.0000
1	20	0	0.0000
2	0	5	26.9441
3	0	11	68.8168
3	14	0	17.2623
5	0	5	13.7875
5	0	18	8.7572
5	10	0	4.3058
5	11	0	6.9671
6	4	0	115.9297
8	0	3	23.5433
8	7	0	11.8555
8	9	0	207.2420
9	6	0	14.9753
12	1	0	0.5046
12	9	0	10.2564
14	0	16	198.8293
14	13	0	1.0940
15	0	8	106.1092
15	14	0	3.0363
16	0	3	0.0006
16	0	14	1.3761
16	9	0	0.0000
16	14	0	20.6685
16	16	0	0.5724
17	4	0	10.9452
19	3	0	8.2656
19	19	0	1.2691
